date	en_url	image	en_title	ru_title	ru_url	
1891-08-25	https://en.wikipedia.org/wiki/International_Electrotechnical_Exhibition		Three-phase long-distance electric transmission is demonstrated	Впервые показана дальняя передача трёхфазного тока	https://ru.wikipedia.org/wiki/Трёхфазная_система_электроснабжения
1893-02-23	https://en.wikipedia.org/wiki/Diesel_engine		Rudolf Diesel patents the diesel engine	Рудольф Дизель патентует дизельный двигатель	https://ru.wikipedia.org/wiki/Дизельный_двигатель
1894-07-01	https://en.wikipedia.org/wiki/Benz_Velo		Benz introduces the Benz Velo	Выпущен Benz Velo	https://ru.wikipedia.org/wiki/Benz_Velo
1895-07-01	https://en.wikipedia.org/wiki/History_of_radio		Marconi demonstrates wireless telegraphy	Маркони демонстрирует беспроводной телеграф	https://ru.wikipedia.org/wiki/История_радио
1895-11-08	https://en.wikipedia.org/wiki/X-ray		X-rays are discovered	Открыты рентгеновские лучи	https://ru.wikipedia.org/wiki/Рентгеновское_излучение
1895-12-28	https://en.wikipedia.org/wiki/Cinematograph		The Cinématographe has its first public screening	Состоялся первый публичный киносеанс	https://ru.wikipedia.org/wiki/Кинематограф_(аппарат)
1897-10-01	https://en.wikipedia.org/wiki/Electron		The electron is discovered	Открыт электрон	https://ru.wikipedia.org/wiki/Электрон
1899-03-06	https://en.wikipedia.org/wiki/Aspirin		Bayer patents aspirin	Bayer патентует аспирин	https://ru.wikipedia.org/wiki/Аспирин
1899-11-15	https://en.wikipedia.org/wiki/Guglielmo_Marconi		Marconi brings wireless to ocean liners	Маркони внедряет беспроводную связь на океанских лайнерах	https://ru.wikipedia.org/wiki/Маркони,_Гульельмо
1896-07-01	https://en.wikipedia.org/wiki/Radioactivity		Radioactivity is discovered	Открыта радиоактивность	https://ru.wikipedia.org/wiki/Радиоактивность
1900-07-02	https://en.wikipedia.org/wiki/Zeppelin		The Zeppelin makes its first flight	Состоялся первый полёт дирижабля Zeppelin	https://ru.wikipedia.org/wiki/Цеппелин
1901-07-01	https://en.wikipedia.org/wiki/ABO_blood_group_system		Landsteiner identifies the ABO blood groups	Ландштейнер открывает группы крови ABO	https://ru.wikipedia.org/wiki/Группа_крови
1902-07-17	https://en.wikipedia.org/wiki/Air_conditioning	https://upload.wikimedia.org/wikipedia/commons/a/a7/Willis_Carrier_1915.jpg	Carrier designs the first modern air-conditioning system	Carrier создаёт первую современную систему кондиционирования	https://ru.wikipedia.org/wiki/Кондиционирование_воздуха
1903-12-17	https://en.wikipedia.org/wiki/Wright_Flyer		The Wright brothers make the first powered airplane flight	Братья Райт совершают первый полёт на самолёте с двигателем	https://ru.wikipedia.org/wiki/Райт_Флаер
1904-07-01	https://en.wikipedia.org/wiki/Fleming_valve		Fleming invents the vacuum tube	Флеминг изобретает электронную лампу	https://ru.wikipedia.org/wiki/Диод
1900-07-01	https://en.wikipedia.org/wiki/Electric_arc_furnace		Héroult develops the first commercial electric arc furnace	Эру создаёт первую коммерческую дуговую сталеплавильную печь	https://ru.wikipedia.org/wiki/Электродуговая_печь
1906-07-01	https://en.wikipedia.org/wiki/Audion_tube		De Forest invents the Audion	Де Форест изобретает аудион	https://ru.wikipedia.org/wiki/Аудион
1907-07-13	https://en.wikipedia.org/wiki/Bakelite		Bakelite is invented	Изобретён бакелит	https://ru.wikipedia.org/wiki/Бакелит
1908-07-01	https://en.wikipedia.org/wiki/Water_chlorination		Permanent chlorination of drinking water begins	Начинается постоянное хлорирование питьевой воды	https://ru.wikipedia.org/wiki/Хлорирование_воды
1908-10-01	https://en.wikipedia.org/wiki/Ford_Model_T		Ford introduces the Model T	Ford выпускает Model T	https://ru.wikipedia.org/wiki/Ford_Model_T
1909-07-01	https://en.wikipedia.org/wiki/Haber_process		The Haber process is demonstrated	Продемонстрирован процесс Габера	https://ru.wikipedia.org/wiki/Процесс_Габера
1910-12-11	https://en.wikipedia.org/wiki/Neon_lighting		Neon lighting is demonstrated	Продемонстрирован неоновый свет	https://en.wikipedia.org/wiki/Neon_lighting
1912-07-01	https://en.wikipedia.org/wiki/X-ray_crystallography		X-ray crystallography is established	Становится возможной рентгеновская кристаллография	https://ru.wikipedia.org/wiki/Рентгеноструктурный_анализ
1913-08-13	https://en.wikipedia.org/wiki/Harry_Brearley		Stainless steel is invented	Изобретена нержавеющая сталь	https://ru.wikipedia.org/wiki/Нержавеющая_сталь
1913-12-01	https://en.wikipedia.org/wiki/Assembly_line		Ford starts the moving assembly line	Ford запускает движущийся конвейер	https://ru.wikipedia.org/wiki/Конвейер
1914-08-15	https://en.wikipedia.org/wiki/Panama_Canal		The Panama Canal opens to traffic	Открыт для движения Панамский канал	https://ru.wikipedia.org/wiki/Панамский_канал
1915-09-15	https://en.wikipedia.org/wiki/Little_Willie		The first tank is built	Построен первый танк	https://ru.wikipedia.org/wiki/Little_Willie
1913-05-26	https://en.wikipedia.org/wiki/Sikorsky_Russky_Vityaz		Sikorsky's Russky Vityaz makes its first flight	Состоялся первый полёт четырёхмоторного самолёта «Русский витязь»	https://ru.wikipedia.org/wiki/Русский_витязь_(самолёт)
1915-11-25	https://en.wikipedia.org/wiki/General_relativity	https://upload.wikimedia.org/wikipedia/commons/5/50/Albert_Einstein_%28Nobel%29.png	Einstein lays the foundation of general relativity	Эйнштейн закладывает основы общей теории относительности	https://ru.wikipedia.org/wiki/Общая_теория_относительности
1916-07-01	https://en.wikipedia.org/wiki/Fedorov_Avtomat	https://upload.wikimedia.org/wikipedia/commons/a/ab/Fedorov_avtomat.jpg	The Fedorov Avtomat enters service	Автомат Фёдорова поступает на вооружение	https://ru.wikipedia.org/wiki/Автомат_Фёдорова
1918-07-10	https://en.wikipedia.org/wiki/Sonar		Sonar is demonstrated	Продемонстрирован сонар	https://ru.wikipedia.org/wiki/Гидролокатор
1920-11-02	https://en.wikipedia.org/wiki/KDKA_(AM)		KDKA begins commercial radio broadcasting	KDKA начинает первое коммерческое радиовещание	https://ru.wikipedia.org/wiki/KDKA
1922-01-11	https://en.wikipedia.org/wiki/Insulin		Insulin is first used to treat diabetes	Инсулин впервые применён для лечения диабета	https://ru.wikipedia.org/wiki/Инсулин
1926-01-26	https://en.wikipedia.org/wiki/John_Logie_Baird		Baird demonstrates television to the public	Бэрд демонстрирует телевидение публике	https://ru.wikipedia.org/wiki/Бэрд,_Джон_Лоуги
1926-03-16	https://en.wikipedia.org/wiki/History_of_rockets		Goddard launches the first liquid-fueled rocket	Годдард запускает первую жидкостную ракету	https://ru.wikipedia.org/wiki/Роберт_Годдард
1927-01-07	https://en.wikipedia.org/wiki/History_of_the_telephone		The first commercial transatlantic telephone service begins	Начинается первая коммерческая трансатлантическая телефонная связь	https://ru.wikipedia.org/wiki/Трансатлантическая_телефонная_связь
1927-10-06	https://en.wikipedia.org/wiki/The_Jazz_Singer		The Jazz Singer ushers in the era of sound film	Выход «Певца джаза» открывает эпоху звукового кино	https://ru.wikipedia.org/wiki/Певец_джаза
1928-09-28	https://en.wikipedia.org/wiki/Penicillin		Fleming discovers penicillin	Флеминг открывает пенициллин	https://ru.wikipedia.org/wiki/Пенициллин
1939-08-27	https://en.wikipedia.org/wiki/Heinkel_He_178		The Heinkel He 178 makes the first jet flight	Состоялся первый полёт реактивного самолёта Heinkel He 178	https://ru.wikipedia.org/wiki/Heinkel_He_178
1930-07-01	https://en.wikipedia.org/wiki/Frank_Whittle		Frank Whittle patents the turbojet engine	Фрэнк Уиттл патентует турбореактивный двигатель	https://ru.wikipedia.org/wiki/Уиттл,_Фрэнк
1935-06-17	https://en.wikipedia.org/wiki/Chain_Home		Radar is demonstrated in Britain	В Британии демонстрируют радар	https://ru.wikipedia.org/wiki/Chain_Home
1935-12-17	https://en.wikipedia.org/wiki/Douglas_DC-3		The Douglas DC-3 makes its first flight	Состоялся первый полёт Douglas DC-3	https://ru.wikipedia.org/wiki/Douglas_DC-3
1936-11-02	https://en.wikipedia.org/wiki/BBC_Television_Service		The BBC begins regular television broadcasting	BBC начинает регулярное телевещание	https://ru.wikipedia.org/wiki/BBC_Television_Service
1937-07-01	https://en.wikipedia.org/wiki/Nylon		Nylon is introduced	Представлен нейлон	https://ru.wikipedia.org/wiki/Нейлон
